"","player_name","nameFirst","nameLast","season","pass_defended","total_intercept","total_fumble_forced","total_assist_tackle","total_sack","total_solo_tackle","position","posteam","posteam_type","defteam","total_pos_time_in_minutes_per_game"
"32544","J.Davis","James","Davis",2017,1,1,NA,NA,NA,8,"LB","GB","away","DET",32.4435483870968
"32582","J.Davis","Jalen","Davis",2018,2,NA,NA,1,0,5,"DB","GB","away","DET",31.4128472222222
"32593","J.Davis","Jason","Davis",2017,NA,NA,NA,2,NA,6,"DE","GB","home","DET",31.5390350877193
"32600","J.Davis","Ja'Gared","Davis",2017,NA,NA,NA,2,NA,6,"LB","GB","home","DET",31.5390350877193
"32607","J.Davis","Jamal","Davis",2017,NA,NA,NA,2,NA,6,"DE","GB","home","DET",31.5390350877193
"32691","J.Davis","Jim","Davis",2018,NA,NA,NA,NA,NA,1,"DE","MIN","home","DET",30.2002525252525
"32712","J.Davis","James","Davis",2018,1,NA,NA,1,NA,3,"LB","NE","away","DET",33.4213541666667
"32750","J.Davis","Jalen","Davis",2017,NA,NA,NA,NA,0,6,"DB","NO","home","DET",32.0962962962963
"32761","J.Davis","Jason","Davis",2018,NA,NA,NA,NA,NA,1,"DE","NYG","away","CAR",26.6713333333333
"32768","J.Davis","Ja'Gared","Davis",2018,NA,NA,NA,NA,NA,1,"LB","NYG","away","CAR",26.6713333333333
"32775","J.Davis","Jamal","Davis",2018,NA,NA,NA,NA,NA,1,"DE","NYG","away","CAR",26.6713333333333
"32859","J.Davis","Jim","Davis",2018,NA,NA,NA,NA,NA,1,"DE","PHI","away","LA",33.5093023255814
"32880","J.Davis","James","Davis",2017,NA,NA,NA,1,NA,1,"LB","PIT","away","DET",31.4923694779116
"32918","J.Davis","Jalen","Davis",2018,NA,NA,NA,2,NA,4,"DB","SEA","away","DET",32.0243902439024
"32929","J.Davis","Jason","Davis",2018,NA,NA,NA,3,2,3,"DE","SF","home","DET",32.1738372093023
"32936","J.Davis","Ja'Gared","Davis",2018,NA,NA,NA,3,2,3,"LB","SF","home","DET",32.1738372093023
"32943","J.Davis","Jamal","Davis",2018,NA,NA,NA,3,2,3,"DE","SF","home","DET",32.1738372093023
"32988","J.Elliott","Javien","Elliott",2017,1,NA,NA,1,NA,2,"DB","CAR","away","TB",31.5040196078431
"32992","J.Elliott","Jay","Elliot",2018,1,1,NA,1,NA,4,"LB","CAR","away","TB",35.6509920634921
"33251","J.Evans","Joey","Evans",2017,NA,NA,NA,1,NA,2,"DE","BUF","home","TB",32.4480072463768
"33272","J.Evans","Jordan","Evans",2017,1,NA,NA,1,NA,NA,"LB","CAR","away","TB",31.5040196078431
"33461","J.Evans","Joey","Evans",2017,NA,NA,NA,NA,NA,5,"DE","CLE","away","CIN",30.9435483870968
"33482","J.Evans","Jordan","Evans",2018,NA,NA,NA,2,NA,3,"LB","CLE","away","CIN",28.123125
"33671","J.Evans","Joey","Evans",2017,2,1,NA,1,NA,7,"DE","NE","away","TB",28.4897569444444
"33692","J.Evans","Jordan","Evans",2018,NA,NA,NA,4,NA,10,"LB","NO","away","CIN",29.468115942029
"33888","J.Freeny","Jonathan","Freeny",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"33902","J.Galette","Junior","Galette",NA,NA,NA,NA,NA,NA,NA,"LB",NA,NA,NA,NA
"33926","J.Haden","Joe","Haden",2017,NA,NA,NA,NA,NA,3,"DB","BAL","home","PIT",36.9202651515152
"33940","J.Haden","Joe","Haden",2017,1,NA,NA,NA,NA,3,"DB","KC","home","PIT",36.547380952381
"33966","J.Hankins","Johnathan","Hankins",2017,1,NA,NA,NA,NA,2,"DT","HOU","home","IND",31.6212962962963
"33980","J.Hankins","Johnathan","Hankins",2017,NA,NA,NA,2,0,1,"DT","TEN","home","IND",31.8202247191011
"34014","J.Hargrave","James","Hargrave",2017,NA,NA,NA,NA,NA,1,"LB","CIN","away","PIT",28.5612745098039
"34028","J.Hargrave","James","Hargrave",2017,NA,NA,NA,NA,0,2,"LB","DET","home","PIT",30.182196969697
"34042","J.Hargrave","James","Hargrave",2017,NA,NA,NA,1,0,NA,"LB","NE","away","PIT",32.951598173516
"34056","J.Harrison","James","Harrison",2017,NA,NA,1,NA,2,3,"LB","NYJ","away","NE",32.7170995670996
"34094","J.Hawkins","Josh","Hawkins",2017,3,NA,NA,NA,NA,5,"DB","CHI","away","GB",31.8442528735632
"34122","J.Hawkins","Josh","Hawkins",2017,NA,NA,NA,NA,NA,1,"DB","NO","away","GB",31.3469858156028
"34162","J.Heath","Joel","Heath",2017,NA,NA,NA,NA,NA,1,"DT","DAL","away","ARI",35.268115942029
"34204","J.Heath","Joel","Heath",2017,NA,NA,NA,1,1,3,"DT","KC","away","HOU",30.4824652777778
"34246","J.Heath","Joel","Heath",2017,NA,NA,NA,2,NA,1,"DT","SF","away","HOU",31.6140350877193
"34294","J.Hicks","Jordan","Hicks",2018,NA,NA,NA,2,NA,6,"LB","DAL","away","PHI",30.0942652329749
